93816105,9381610,9381600,14,,,GREEN MEADOW,DR,,CLIFTON PARK,NY,12065,12065-1834
93818109,9381810,9381800,5,,,BRADBURY,ST,,CLIFTON PARK,NY,12065,12065-1649
93820109,9382010,9382000,4,,,TEMPLE,HLS,,CLIFTON PARK,NY,12065,12065-2427
93821106,9382110,9382100,28,,,CASTLE,PNES,,CLIFTON PARK,NY,12065,12065-2128
93083017,938606659,9308300,151,,,MOE,RD,,CLIFTON PARK,NY,12065,12065-6775
101089016,600537848,10108900,5,,,SUGAR PLUM,RDG,,CLIFTON PARK,NY,12065,12065-2313
97870016,395382010,9787000,579,,,WAITE,RD,,REXFORD,NY,12148,12148-1394
103047016,805671358,10304700,188,,,MOE,RD,,CLIFTON PARK,NY,12065,12065-6740
102168016,634929323,10216800,16,,,CARPENTER,WAY,,CLIFTON PARK,NY,12065,12065-3714
107163039,655054218,10716300,35,,,MICHELLE,DR,,CLIFTON PARK,NY,12065,12065-1671
108809114,225293809,10880900,838,,,GROOMS,RD,,REXFORD,NY,12148,12148-1404
108810126,364400310,10881000,891,,,ROUTE 146A,,,CLIFTON PARK,NY,12065,12065-1523
109011109,10901110,10901100,64,,,WALNUT,DR,,CLIFTON PARK,NY,12065,12065-7427
109012142,551362230,10901200,21,,,ACORN,AVE,,CLIFTON PARK,NY,12065,12065-5117
109013103,10901310,10901300,21,,,WILLARD,DR,,CLIFTON PARK,NY,12065,12065-6726
109014100,10901410,10901400,102,,,SOUTHBURY,RD,,CLIFTON PARK,NY,12065,12065-7707
109015509,224473500,10901500,3011,,,FOXWOOD,DR,S,CLIFTON PARK,NY,12065,12065-7014
109016113,151907410,10901600,11,,,APPLEWOOD,DR,,REXFORD,NY,12148,12148-1604
109017129,326364630,10901700,4104,,,FOXWOOD,DR,S,CLIFTON PARK,NY,12065,12065-7002
109018108,10901810,10901800,86,,,BOYACK,RD,,CLIFTON PARK,NY,12065,12065-7418
113807122,547687911,11380700,30,,,BEECHWOOD,DR,,CLIFTON PARK,NY,12065,12065-4828
113808129,897640910,11380800,8,,,BLUE SPRUCE,LN,,BALLSTON LAKE,NY,12019,12019-1319
113809108,267598147,11380900,1,,,SEVILLA,DR,,CLIFTON PARK,NY,12065,12065-5020
113810110,183689747,11381000,4,,,GARDEN,DR,,CLIFTON PARK,NY,12065,12065-4015
113811117,254867310,11381100,249,,,RIVERVIEW,RD,,REXFORD,NY,12148,12148-1642
113812105,11381210,11381200,31,,,REED,LN,,CLIFTON PARK,NY,12065,12065-1830
113816121,141008010,11381600,16,,,GREEN MEADOW,DR,,CLIFTON PARK,NY,12065,12065-1834
113818107,771291094,11381800,3,,,BRADBURY,ST,,CLIFTON PARK,NY,12065,12065-1649
113820116,371301215,11382000,16,,,COVENTRY,DR,,CLIFTON PARK,NY,12065,12065-1746
113821104,11382110,11382100,63,,,REDFIELD,PARK,,CLIFTON PARK,NY,12065,12065-1673
114010141,56711122,11401000,3,,,OLD NOTT FARM,RD,,REXFORD,NY,12148,12148-1336
120123024,549381510,12012310,765,,,WAITE,RD,,CLIFTON PARK,NY,12065,12065-1512
115153001,895524321,11515310,650,,,CLIFTON PARK CTR,RD,,CLIFTON PARK,NY,12065,12065-4839
115165038,18749720,11516510,28,,,KNOLLWOOD,DR,,BALLSTON LAKE,NY,12019,12019-1426
120162049,410901410,12016210,9,,,RED OAK,WAY,,REXFORD,NY,12148,12148-1152
